Email,Username,item Name,Category,Model name,Manufacturer,Model Number,Serial number,Asset Tag,Location,Notes,Purchase Date,Status,Warranty,Supplier
,,Compute Stick,Hardware,Compute Stick m3 6Y30,Intel,,BTCC6390005V,2,Woodcote Park,,03/08/2017,Deployed,,
,,iPad,Hardware,"iPad 9.7""",Apple,,3.55805E+14,1,,,01/01/1970,Deployed,,
,,Chip and Pin,Hardware,VX820,Verifone,,900-522-379,28,Pall Mall,,01/01/1970,Deployed,,
,,Switch,Hardware,2530-24G-PoE+,Aruba,,CN68FP47GH,29,Pall Mall,,01/01/1970,Deployed,,
,,SIP Phone,Hardware,SoundStation IP 6000,Polycom,,0004F2077613,31,Woodcote Park,,01/01/1970,Deployed,,
,,Laptop,Hardware,Latitude 3480,Dell,,HSDSMJ2,32,Woodcote Park,,08/02/2017,Deployed,,
,,Monitor,Hardware,E2216H,Dell,,8NTGT62,33,Woodcote Park,,04/03/2016,Deployed,,
,,Monitor,Hardware,E2216H,Dell,,6MTGT62,34,Woodcote Park,,04/03/2016,Deployed,,
,,Dock,Hardware,E Port Replicator II,Dell,,4.54552E+12,35,Woodcote Park,,07/02/2017,Deployed,,
,,Monitor,Hardware,E2216H,Dell,,7MTGT62,36,Woodcote Park,,04/03/2016,Deployed,,
,,Switch,Hardware,2530-24G-PoE+,Aruba,,CN77G9D03L,37,Pall Mall,,01/01/1970,Deployed,,
,,Switch,Hardware,2530-24G-PoE+,Aruba,,CN77G9D06H,38,Pall Mall,,01/01/1970,Deployed,,
,,IP Phone,Hardware,5312 IP Phone,Mitel,,FSAFM5605,39,Pall Mall,SL Complete,01/01/1970,Deployed,24,
,,IP Phone,Hardware,5312 IP Phone,Mitel,,FSAFM5617,40,Pall Mall,SL Complete,01/01/1970,Deployed,24,
,,Monitor,Hardware,E2216H,Dell,,CN-05GV68-72872-618-AY7L-A01,41,Pall Mall,,,Deployed,,
,,Monitor,Hardware,E2216H,Dell,,CN-05GV68-72872-618-A9NL-A01,42,Pall Mall,Monitor in staff canteen PM,,Deployed,,
,,Monitor,Hardware,P2417H,Dell,,CN-0CW6Y7-QDC00-789-AD5B-A01,43,Pall Mall,,,Deployed,,
,,Monitor,Hardware,P2417H,Dell,,CN-0CW6Y7-QDC00-789-ACHB-A01,44,Pall Mall,,,Deployed,,
,,Monitor,Hardware,P2417H,Dell,,CN-0CW6Y7-QDC00-789-AD78-A01,46,Pall Mall,,,Pending,,
,,Dock,Hardware,Dell WD15 USB-C Dock,Dell,,345K2L2,47,Pall Mall,,01/03/2018,Deployed,,
,,SIP Phone,Hardware,SoundStation IP 6000,Polycom,,0004F207E990,48,Pall Mall,,02/01/2018,Deployed,,
,,Printer,Hardware,P2040dw,Kyo,,VD37506857,49,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37506860,50,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606946,51,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37506853,52,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606951,53,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37506862,54,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606949,55,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37506846,56,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606948,57,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,,58,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37506859,59,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37506850,60,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606954,61,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606944,62,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606947,63,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606943,64,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606938,65,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37506851,66,Pall Mall,,,Pending,,
,,Printer,Hardware,P2040dw,Kyo,,VD37606955,68,Pall Mall,,,Pending,,
,,Switch,Hardware,EX4300-32F,Juniper,,TW3718450182,99,Pall Mall,,,In Stock,,
,,Laptop,Hardware,latitude 5480,Dell,,65xm8h2,102,Pall Mall,,09/11/2017,Deployed,,
,,Monitor,Hardware,E2216H,Dell,,1QVGT62,103,Woodcote Park,,01/01/1970,Deployed,,
,,Dock,Hardware,Dell WD15 USB-C Dock,Dell,,97ZJ2L2,104,Woodcote Park,,01/01/1970,Deployed,,
,,Dock,Hardware,Dell WD15 USB-C Dock,Dell,,,105,Pall Mall,,,Deployed,,
,,Dock,Hardware,Dell WD15 USB-C Dock,Dell,,,106,Woodcote Park,,,Deployed,,
,,Monitor,Hardware,E2216H,Dell,,9MTGT62,107,Woodcote Park,,01/01/1970,Deployed,,
,,Monitor,Hardware,E2216H,Dell,,,108,Woodcote Park,,,Deployed,,
,,IP Phone,Hardware,5312 IP Phone,Mitel,,FSAES1013,109,Woodcote Park,,,Deployed,,
,,Laptop,Hardware,latitude 5480,Dell,,J3LM8H2,110,Woodcote Park,,01/01/1970,Deployed,,
,,Laptop,Hardware,latitude 5480,Dell,,FBSN6H2,111,Woodcote Park,,,Deployed,,
,,iPhone,Hardware,iPhone 6S,Apple,,3.55422E+14,112,Woodcote Park,,03/01/2016,Deployed,,
,,Desktop,Hardware,Optiplex 3050,Dell,,BKQWCM2,113,,,11/10/2017,Pending,,
,,Desktop,Hardware,Optiplex 3050,Dell,,BKRMCM2,114,,,11/10/2017,Pending,,
,,Desktop,Hardware,Optiplex 3050,Dell,,BKQQCM2,115,,,11/10/2017,Pending,,
,,Desktop,Hardware,Optiplex 3050,Dell,,BKQVCM2,116,,,11/10/2017,Pending,,
,,Monitor,Hardware,P2417H,Dell,,7VNCSK2,117,,,11/10/2017,Pending,,
,,Monitor,Hardware,P2417H,Dell,,5VNCSK2,118,,,11/10/2017,Pending,,
,,Monitor,Hardware,P2417H,Dell,,DPJNSK2,119,,,11/10/2017,Pending,,
,,Monitor,Hardware,P2417H,Dell,,9VNCSK2,120,,,11/10/2017,Pending,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,N\A,121,Woodcote Park,,,In Stock,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,16Gb,N/A,122,Woodcote Park,,,In Stock,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,,123,Woodcote Park,,,In Stock,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,,124,Woodcote Park,,,In Stock,,
,,Laptop,Hardware,Latitude E7440,Dell,,3PQGK32,125,Woodcote Park,Trident,01/01/1970,Deployed,28,
,,T&A Machine,Hardware,SY-780A,Synel,,74581486,127,Pall Mall,,12/01/2012,Deployed,,
,,Laptop,Hardware,Latitude 3460,Dell,,2XC2D82,128,Woodcote Park,Trident,01/01/1970,Deployed,5,
,,Switch,Hardware,2530-48G-PoE+,HPE,,CN79FP33JH,129,Woodcote Park,,08/11/2018,Pending,,
,,Switch,Hardware,2530-48G-PoE+,HPE,,CN79FP33BR,130,Woodcote Park,,08/11/2018,Pending,,
,,Switch,Hardware,2530-48G-PoE+,HPE,,CN79FP33SN,131,Woodcote Park,,08/11/2018,Pending,,
,,Switch,Hardware,2530-48G-PoE+,HPE,,CN79FP33W6,132,Woodcote Park,,08/11/2018,Pending,,
,,Switch,Hardware,EX4200-24F,Juniper,,,133,Woodcote Park,,08/11/2018,Pending,,
,,Switch,Hardware,EX4200-24F,Juniper,,BR0213467333,134,Woodcote Park,,08/11/2018,Pending,,
,,Switch,Hardware,EX4200-24T,Juniper,,,135,Woodcote Park,,08/11/2018,Pending,,
,,Switch,Hardware,EX4200-24T,Juniper,,BR0217270058,136,Woodcote Park,,08/11/2018,Pending,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,,137,Woodcote Park,,,In Stock,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,,138,Woodcote Park,,,In Stock,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,,139,Woodcote Park,,,In Stock,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,,140,Woodcote Park,,,In Stock,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,,141,Woodcote Park,,,In Stock,,
,,USB flash drive,Hardware,Ultra USB 3.0,SanDisk,32Gb,,142,Woodcote Park,,,In Stock,,
,,Desktop,Hardware,OptiPlex 5250,Dell,,CN-06FY75-74431-6C8-0963-A00,143,Woodcote Park,Service Tag - FRW04J2,,Deployed,,
,,iPhone,Hardware,iPhone 6S,Apple,,FK2VNS4EHFLR,144,Woodcote Park,35 948708 126569 2,12/11/2017,Deployed,,
,,Surface/Tablet,Hardware,Latitude 5285,Dell,,D2Q24M2,145,Woodcote Park,,01/01/1970,Deployed,,
,,Dock,Hardware,Dell WD15 USB-C Dock,Dell,,7GRYWL2,148,Woodcote Park,,01/01/1970,Deployed,,
,,Surface/Tablet,Hardware,Latitude 5285,Dell,,20FS3M2,149,Woodcote Park,,01/01/1970,Deployed,,
